sentiment_coeff,sentence,sentiment,sentiment_rate
"[20.400002087964094, 4.559315031918696, 4.559315031918696, 4.559315031918696, 4.559315031918696, 4.559315031918696, 4.559315031918696, 4.559315031918696, 4.559315031918696]",kuota p p p p p p p p,1,6.319391371479296
"[28.038398044701818, 0, 0, 20.400002087964094, 0, 11.9179649275084, 0, 10.567134001302076, 27.03235144753129, 2.705594239505701]",saya jadinya ngisi kuota harian selama 5 hari ini ((,1,10.066144474851338
"[10.9360398726983, 20.400002087964094]",punten kuota,1,15.668020980331196
"[4.419059533412175, 1.809646695496786, 0, 20.400002087964094, 15.154276198608368]",minta nomer resi kuota dong,1,8.356596903096285
[20.400002087964094],kuota,1,20.400002087964094
"[20.400002087964094, 21.743351687956963, 3.0396745590126515, 21.743351687956963, 8.791752838354096, 16.077804316996474]",kuota nya janji nya gimana min,1,15.299322863040208
"[10.9360398726983, 20.400002087964094]",punten kuota,1,15.668020980331196
"[24.60614524637703, 7.694372766590685, 18.96129084884488, 9.720037925357095, 7.75550262385769]",pak kuotanya udah sampe mana,1,13.747469882205475
"[0, 6.041688577216262, 13.65956464817592, 5.578419537099986, 0, 2.628135483992956, 7.456935867061381]",kuotaku abis wifi indihome trouble mulu (,1,5.052106301935216
"[7.75550262385769, 20.400002087964094, 7.75550262385769, 3.643110046090403, 3.643110046090403, 17.087558738518734, 9.720037925357095, 27.03235144753129, 0, 11.005619920945882, 3.2941699939576594, 7.3677978769161125, 23.949859845910467, 23.611044010781132, 11.081765679534431, 8.742309352925774, 15.793001142749468, 20.223691517441853, 13.931538421954992, 13.901446873578898, 15.8816602641892, 15.702596867252138, 12.812116707248052, 0, 13.107410512953546, 14.182969861874255, 12.848807946036755, 10.327852409909411, 0, 24.114293637030066, 17.567245391306468, 18.625075153696326, 7.602821154754111, 29.67113496319793, 24.114293637030066, 0, 19.848970338808027, 21.204059676660677, 12.812116707248052, 21.204059676660677, 21.743351687956963, 0, 8.833489733246774, 12.612567376949887, 5.577070017402591, 0, 7.3677978769161125, 20.223691517441853, 13.931538421954992, 13.901446873578898, 15.8816602641892, 15.702596867252138]",mana kuota mana hey hey jangan sampe ini sebatas april mop y face with hand over mouth rolling on the floor laughing masa kalah sama negeri sih kek ub mereka udh dpt loh dan mereka kerjasama dg telkom masa telkom nya sendiri blm kan gk funny y rolling on the floor laughing,1,13.025809917667488
"[10.9360398726983, 20.400002087964094]",punten kuota,1,15.668020980331196
"[10.9360398726983, 20.400002087964094]",punten kuota,1,15.668020980331196
"[0, 20.400002087964094, 7.75550262385769, 20.400002087964094, 5.6536792871258035, 20.400002087964094, 3.581895316936221, 2.7351971655763045, 10.794382805561996, 0, 0, 0]",samlekum kuota mana kuota oh kuota 300 k katanya manssss niii lurrrrr,1,7.643388621912525
"[0, 24.60614524637703, 20.400002087964094, 27.058805467637313, 22.663867830218088, 5.046865778737816, 10.551355744638256]",permisi pak kuota kami belum masuk nih,1,15.761006022224654
"[10.9360398726983, 20.400002087964094, 21.743351687956963, 7.75550262385769, 0]",punten kuota nya mana nich,1,12.16697925449541
"[24.60614524637703, 7.694372766590685, 0, 0, 7.75550262385769, 10.548506411991664, 0, 18.96129084884488, 6.041688577216262, 0, 0, 2.628135483992956, 22.644803515935426, 19.991453332194787, 23.949859845910467]",pak kuotanya kecantol server mana sedih kuotaku udah abis indihom error mulu loudly crying face,1,9.654783910194123
"[27.058805467637313, 8.876679450391974, 0]",kami butuh kuotaaa,1,11.97849497267643
"[2.7351971655763045, 15.58640915603588, 0, 0, 8.67479551880497]",k u o t a,1,5.399280368083431
"[20.400002087964094, 28.038398044701818, 7.75550262385769]",kuota saya mana,1,18.7313009188412
"[20.400002087964094, 21.743351687956963, 7.75550262385769, 24.60614524637703, 1.4127859027114182]",kuota nya mana pak n,1,15.18355750977344
"[20.400002087964094, 1.5652072611756849, 21.204059676660677, 0, 0]",kuota khas telkom universitynya kk,1,8.633853805160092
"[11.005619920945882, 3.2941699939576594]",april mop,1,7.149894957451771
"[0, 9.114679479800547, 12.638755390065596, 0]",pembelian kartu telkomsel stonks✓,1,5.438358717466535
"[10.9360398726983, 20.400002087964094]",punten kuota,1,15.668020980331196
"[10.9360398726983, 4.710322362891153]",punten slur,1,7.823181117794727
"[20.223691517441853, 13.931538421954992, 13.901446873578898, 15.8816602641892, 15.702596867252138, 20.223691517441853, 13.931538421954992, 13.901446873578898, 15.8816602641892, 15.702596867252138, 20.223691517441853, 13.931538421954992, 13.901446873578898, 15.8816602641892, 15.702596867252138, 20.223691517441853, 13.931538421954992, 13.901446873578898, 15.8816602641892, 15.702596867252138, 20.223691517441853, 13.931538421954992, 13.901446873578898, 15.8816602641892, 15.702596867252138]",rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing,1,15.928186788883416
"[0, 5.990517247721101]",tertypuu wkwkwk,1,2.9952586238605505
"[4.2730516619508, 15.154276198608368, 16.698537861929953, 25.670098798085004, 7.883706482934054, 11.276995030695806, 8.38560672100541, 9.531793314765572, 11.276995030695806, 10.366388211083422, 10.969740505347822, 10.375484016709349, 9.531793314765572, 12.786423097001768, 20.462859342017907, 0, 0, 23.557310129908487, 11.276995030695806, 0, 12.968161671814409, 0, 6.318258215979501, 4.212886099292551]",baca dong akan di transfer setelah tanggal 8 setelah bukan pas tgl 8 jadi kalo setelelah 2022 juga setelah hahhaha kena tipu dia selamat,1,10.12405669730364
"[20.400002087964094, 0, 0, 0, 0, 3.880360928215232, 4.8804909830095315, 3.880360928215232, 4.8804909830095315]",kuota manaaa kuotaa manaa dimanaaa woman dancing woman dancing,1,4.213522878934847
[0],dingdingpadingding,0,0.0
[0],hoaxxxx,0,0.0
"[20.462859342017907, 20.400002087964094, 21.743351687956963, 9.592957148117275, 25.670098798085004, 0, 6.78575271075713, 12.786423097001768, 0]",kalo kuota nya lama di denda ngga jadi 500rb,1,13.049049430211127
"[6.303114177397782, 12.637010979439866]",keburu uas,1,9.470062578418824
[0],sisteuuurrr,0,0.0
"[11.005619920945882, 3.2941699939576594]",april mop,1,7.149894957451771
"[10.319644234255117, 16.311039179979446, 16.424541165590494, 0, 5.2703060756865705, 0, 0, 10.551355744638256, 0, 28.038398044701818, 0, 13.65956464817592, 0, 8.992201925714136, 22.644803515935426, 19.991453332194787, 23.949859845910467, 22.644803515935426, 19.991453332194787, 23.949859845910467, 22.644803515935426, 19.991453332194787, 23.949859845910467]",assalamualaikum pun10 subsidi turun kapan yakk malu nih lama2 saya numpang wifi tetangga terus loudly crying face loudly crying face loudly crying face,1,13.448930482646253
"[4.974366438051705, 5.2703060756865705, 24.60614524637703, 6.303114177397782, 28.038398044701818, 11.671437181551092, 12.659909348821733, 10.551355744638256, 8.280586368627068]",pulsa kapan pak keburu saya keluar rumah nih dah,1,12.483957625094783
"[0, 8.876679450391974, 0]",kamj butuh kuotaaaaaaaa,1,2.958893150130658
[20.400002087964094],kuota,1,20.400002087964094
"[7.75550262385769, 24.60614524637703, 7.694372766590685, 10.794382805561996, 22.34959285909023, 12.75355994294832, 0, 3.1779746475787785, 20.449264800182192, 27.03235144753129, 6.303114177397782, 12.637010979439866, 24.60614524637703, 28.038398044701818, 0, 4.981675686369007, 23.091829314617673, 22.34959285909023, 12.75355994294832, 0, 28.038398044701818, 19.891639781166845, 0, 12.786423097001768, 0, 25.284310090541325, 0, 12.344022635368287, 16.311039179979446, 10.507665454615738, 11.883281940251178, 17.087558738518734, 0, 0, 13.107410512953546, 12.951427528914115, 14.182969861874255, 28.86007692205497, 0, 8.87337360152147, 21.743351687956963, 0, 29.67113496319793, 13.811511003396197, 0, 24.114293637030066, 0, 19.848970338808027, 21.204059676660677, 12.812116707248052, 26.474804430584268, 18.263484058208185, 21.204059676660677, 0, 8.833489733246774, 18.625075153696326, 12.612567376949887, 0, 7.731106183997187, 0, 23.949859845910467, 23.611044010781132, 15.225630841782104, 14.599676595500178, 11.652775888603351, 17.17747863040405, 14.239074539068866]",mana pak kuotanya katanya buat belajar tiga bulan tpi ini keburu uas pak saya terkendala kouta karena buat belajar buku2 saya semua diasrama jadi bingung mau bljr apa pun10 sekali pa jangan dibuat malu sama univ negeri yg notabene spp nya murah dan itu pun mereka bekerjasama dg telkom masa kita org telkom kgk blm dpt kan kgk lucu ye face with tears of joy folded hands,1,13.147606503877833
"[16.424541165590494, 20.400002087964094, 0, 3.979571559473386, 0, 11.005619920945882, 3.2941699939576594]",subsidi kuota adalah da real april mop,1,7.871986389704502
"[10.9360398726983, 20.400002087964094, 7.75550262385769]",punten kuota mana,1,13.030514861506694
"[20.400002087964094, 0]",kuota kuotaa,1,10.200001043982047
"[2.7351971655763045, 15.58640915603588, 0, 0, 8.67479551880497]",k u o t a,1,5.399280368083431
"[2.7351971655763045, 15.58640915603588, 0]",k u ota,1,6.1072021072040625
"[11.005619920945882, 3.2941699939576594, 0, 0, 0, 23.949859845910467]",april mop mampos kelen smirking face,1,6.374941626802335
"[16.424541165590494, 20.400002087964094, 7.75550262385769, 24.60614524637703]",subsidi kuota mana pak,1,17.296547780947325
"[20.400002087964094, 0]",kuota pakkkk,1,10.200001043982047
"[19.239648878279354, 18.442847059281977, 14.815724753061126, 4.815339976450132, 0, 14.733252144536689, 4.5097154320174955, 21.72535359887457, 5.1712655378255405, 18.625075153696326, 10.902334670101986]",semoga bpp semester depan bayarnya gak full tp tetep dpt tak,1,12.089141564011383
"[0, 0, 16.424541165590494, 0, 10.327852409909411, 14.680569555216598, 8.429576033808777, 4.75539271465705, 0]",oiya mo subsidi kuota/pulsa kek kampus lain donk h3h3,1,6.068659097686926
"[21.054195874878666, 22.88279881445002, 0, 20.400002087964094, 7.005546090800098]",tidak ada pemberian kuota gratis,1,14.268508573618575
"[3.661795137141967, 20.400002087964094, 5.2703060756865705, 16.077804316996474]",kompensasi kuota kapan min,1,11.352476904447276
"[0, 10.902334670101986, 0, 15.660432547051537, 9.850226794727364, 2.6883939573538185]",anjirr tak jama dulu bgt wkwkwkwk,1,6.51689799487245
"[7.75550262385769, 10.551355744638256, 16.424541165590494, 1.2864832563701658]",mana nih subsidi internetnya,1,9.00447069761415
"[27.058805467637313, 8.876679450391974, 16.424541165590494, 4.981675686369007]",kami butuh subsidi kouta,1,14.335425442497199
"[16.424541165590494, 10.902334670101986, 0]",subsidi tak ceritanya,1,9.108958611897494
"[0, 15.21786462014611, 0, 3.51039848094701]",trigi iya woi v,1,4.68206577527328
"[8.876679450391974, 4.981675686369007, 10.366388211083422, 10.902334670101986]",butuh kouta bukan tak,1,8.781769504486597
[8.438466685735833],nah,1,8.438466685735833
"[0, 0]",*mmorpg intensifies*,0,0.0
"[1.84110524591198, 7.268261216450961, 7.963775940095206, 22.644803515935426, 19.991453332194787, 23.949859845910467]",kirain dapet duit loudly crying face,1,13.943209849416471
"[16.424541165590494, 20.400002087964094, 1.5652072611756849, 0, 21.743351687956963, 3.0809086337032143]",subsidi kuota khas bojongsoang nya kakak,1,10.535668472731743
"[10.902334670101986, 0, 18.79709499312352, 0, 3.661795137141967, 20.400002087964094, 0, 8.87337360152147]",tak dh banyak sini kompensasi kuota aja/pemotongan spp,1,7.82932506123163
"[20.400002087964094, 20.400002087964094]",kuota kuota,1,20.400002087964094
"[0, 0, 0, 0]",farming skuy edward yw,0,0.0
[0],krbo,0,0.0
"[12.108888315131194, 23.949859845910467, 23.611044010781132, 13.296965097814006, 13.743825228007266, 12.108888315131194, 23.949859845910467, 23.611044010781132, 13.296965097814006, 13.743825228007266, 12.108888315131194, 23.949859845910467, 23.611044010781132, 13.296965097814006, 13.743825228007266]",smiling face with heart eyes smiling face with heart eyes smiling face with heart eyes,1,17.34211649952881
"[0, 0, 28.347989528796663, 0]",cobain noh yang silaban,1,7.086997382199166
"[0, 20.400002087964094, 8.791752838354096, 15.154276198608368]",maunya kuota gimana dong,1,11.086507781231639
"[0, 2.652303830993353, 28.86007692205497, 15.07277324632768, 29.67113496319793, 0, 10.902334670101986, 15.660432547051537, 11.41511909388851, 23.949859845910467, 23.611044010781132, 12.108888315131194, 13.743825228007266]",tahh siapa yg masih dan kejar2 tak dulu beaming face with smiling eyes,1,14.434445590265078
"[14.680569555216598, 8.429576033808777, 18.96129084884488, 19.826683780469835, 0, 8.528258020047797, 3.661795137141967, 20.400002087964094, 20.793529754531342, 0, 8.87337360152147, 0, 9.399850865567632, 17.030621719722305, 4.879887047648968, 7.846991266118112, 0, 7.449619062925768, 16.560687222281228, 15.089281860116749, 28.86007692205497, 25.670098798085004, 0]",kampus lain udah pada gerak ngasih kompensasi kuota atau pemotongan spp sementara telyu dari kemarin cuma student check in doang yg di peratiin,1,11.171399721046411
"[0, 0, 0, 10.567134001302076, 18.625075153696326, 4.966889139417212, 3.51039848094701]",daily login 100 hari dpt cashback v,1,5.381356682194661
"[4.419059533412175, 6.681343401213037, 20.400002087964094, 7.005546090800098, 17.030621719722305, 18.442847059281977, 0]",minta fasilitas kuota gratis dari bpp kamiii,1,10.56848855605624
"[9.710754667144293, 18.442847059281977, 1.2414825212917675, 22.34959285909023, 20.400002087964094]",50% bpp lumayan buat kuota,1,14.428935838954473
"[0, 0, 0, 13.412408982061725]",backhand index pointing up,1,3.3531022455154313
"[6.147747158135116, 6.0341269828969955, 5.042625400008161, 0, 8.80987398888409, 0, 0, 5.320997166267069, 21.204059676660677, 0, 0, 0, 0, 0, 20.821548799198307, 20.442424596227387]",kudu we aing meuli bahan keur nugas ka telkom sarua wae kehed jang naon kuliah online,1,5.863962735517363
"[18.442847059281977, 11.782091718469255, 0, 9.710754667144293, 26.474804430584268, 0, 0, 29.67113496319793, 20.400002087964094, 23.557310129908487, 16.160470069993472, 7.963775940095206, 17.512921666760498, 0, 0, 20.462859342017907, 15.879250785867304, 4.966889139417212]",bpp harus dibalikin 50% kita gapake fasilitasnya dan kuota juga pake duit mahal woy gaadil kalo ga cashback,1,12.388061777816771
"[25.284310090541325, 0, 2.393780968324767, 10.902334670101986, 8.791752838354096, 16.077804316996474]",mau ngurus input tak gimana min,1,10.574997147386442
"[21.04566292176771, 15.930186391888304, 27.39853095151287, 2.30333610268921, 0, 13.942593306378045, 0, 0, 0, 0, 25.670098798085004, 7.719299139528108, 12.612567376949887, 0, 0, 27.39853095151287, 19.0503117006558, 6.78755468256058]",mahasiswa pulang ke seluruh penjuru indonesia melalui bandara stasiun terminal di khawatir kan menjadi carrier ke daerah masing2,1,9.992148462418244
"[27.03235144753129, 12.848807946036755, 11.016043814894235, 21.743351687956963, 10.366388211083422, 20.821548799198307, 20.442424596227387, 10.530494444068994, 13.953900864461046, 17.635530310346113, 20.381504951756035, 12.76405838314054, 19.483589884407326, 0, 26.042514327529393, 28.86007692205497, 20.439488831012753, 18.832596729223045, 0, 17.781772891237033, 28.86007692205497, 0, 17.41874051650712, 20.821548799198307, 20.442424596227387, 7.7022372451463035, 0, 26.042514327529393, 29.67113496319793, 7.952201655863536, 15.805858655308025, 0, 19.483589884407326, 22.88279881445002, 17.635530310346113, 28.86007692205497, 0, 0, 22.88279881445002, 23.557310129908487, 28.86007692205497, 12.76405838314054, 9.462908575770305, 19.483589884407326, 29.67113496319793, 26.042514327529393, 19.826683780469835, 10.58107135381118, 0, 15.190479730667924, 11.050762305415656, 6.513629406672832, 27.72594088605488, 26.042514327529393, 17.087558738518734, 0, 13.985137863672408, 18.832596729223045, 17.781772891237033, 28.86007692205497, 0]",ini sih nama nya bukan kuliah online dimana beberapa dosen hanya memberi materi serta tugas yg diberikan dengan rentang waktu yg singkat setiap kuliah online selalu diberi tugas dan jika ingin menanyakan materi ada dosen yg slow respon ada juga yg memberi informasi materi dan tugas pada saat jam perkuliahan tolong lah untuk tugas jangan berlebihan apalagi dengan waktu yg singkat,1,16.07799664902039
"[0, 11.128730549940666, 0, 0, 0, 0, 0, 0, 6.765447973544557, 0, 0, 0, 0, 0, 0, 0]",fishstreat bandung *promo grab 50%* all menu 16 29 maret 2020 go grab your food thanks,1,1.1183861577178265
"[27.03235144753129, 0, 26.042514327529393, 20.442424596227387, 10.366388211083422, 20.821548799198307, 20.442424596227387, 0, 12.76405838314054, 26.042514327529393, 12.248411927672903, 0, 24.833945697115738, 15.660432547051537, 28.347989528796663, 0, 0, 17.635530310346113, 0, 21.04566292176771, 0]",ini namanya tugas online bukan kuliah online dosen” memberi tugas tanpa dijelaskan lebih dulu yang merdeka disini dosen doangg mahasiswa sengsara,1,13.510771315296083
"[0, 0, 0, 0, 0, 12.688344600412018, 8.791752838354096, 10.551355744638256, 12.344022635368287, 15.07277324632768, 6.4286479636390075]",mulyarasa mbak kantin kantin mulya rasa gimana nih apa masih buka,1,5.988808820794485
"[23.11647120433754, 12.499301157771926, 18.640702717242867, 0, 0, 10.751109273674242, 7.719299139528108, 0, 11.574386030355013, 0, 21.72535359887457, 0, 26.042514327529393, 28.86007692205497, 10.794382805561996, 22.88279881445002, 26.042514327529393, 0, 18.382011015468027, 0, 0, 7.719299139528108, 14.877074839237045, 11.574386030355013, 0, 0, 0, 19.848970338808027, 0, 29.67113496319793, 0, 27.39853095151287, 0, 0, 21.02361479368883, 12.207052256418107, 10.567134001302076, 14.588722296244185, 18.640702717242867, 16.057230716168654, 0, 8.791752838354096, 23.224061849289537, 16.057230716168654, 0, 0, 0, 0, 14.877074839237045, 0, 11.574386030355013, 13.452100240564713, 21.02361479368883, 11.671437181551092, 12.659909348821733, 9.25165012808582, 0, 26.042514327529393]",mohon maaf sy selaku orgtua ikut khawatir mmg anak diliburkan tp memdpt tugas yg katanya ada tugas kelompok praktikum sbg orgtua khawatir krn anak msh mengerjakan bareng dg teman dan dtg ke kost mskpn tdk tiap hari malah sy jd ngomel gimana kalau jd darah tinggi gara2 ngomel krn melarang anak utk tdk keluar rumah alasan mengerjakan tugas,1,10.54880183916772
"[11.050762305415656, 21.04566292176771, 0, 15.930186391888304, 20.86625408039702, 18.14499507890788, 23.091829314617673, 21.04566292176771, 21.204059676660677, 0, 17.030621719722305, 0, 19.0503117006558, 0, 13.942593306378045, 0, 16.698537861929953, 0, 0, 0, 27.39853095151287, 19.0503117006558, 28.347989528796663, 22.663867830218088, 0, 11.753079981186392, 23.091829314617673, 0, 25.670098798085004, 0, 0, 21.168095829089197, 13.811511003396197, 6.602128452974807, 0, 19.826683780469835, 15.930186391888304, 27.39853095151287, 12.931183599173458, 24.114293637030066, 29.67113496319793, 14.588722296244185, 0, 11.179540660771202, 25.670098798085004, 12.931183599173458, 24.114293637030066, 14.558227387131536, 22.663867830218088, 12.968161671814409]",tolong mahasiswa diwajibkan pulang dikaji lagi karena mahasiswa telkom berasal dari berbagai daerah diseluruh indonesia maka akan berpotensi virusnya menyebar ke daerah yang belum terkena covid karena kejadian di italia sebelumnya seperti itu warga kota pada pulang ke kampung mereka dan malah menyebarkan virus di kampung mereka padahal belum kena,1,13.744100597487636
"[18.442847059281977, 25.670098798085004, 4.966889139417212, 22.69505775487729, 3.9203783371872665, 20.125481828339538, 20.821548799198307, 20.442424596227387, 8.876679450391974, 20.400002087964094, 0]",bpp di cashback bisa kali ya kuliah online butuh kuota )),1,15.123764350088186
[0],nababan,0,0.0
"[4.09902201457356, 0, 0, 0, 6.513629406672832, 0]",libur panjang kau majalaya lah breww,1,1.7687752368743987
"[0, 18.442847059281977]",kembalikan bpp,1,9.221423529640989
"[10.9360398726983, 27.72594088605488, 0, 26.042514327529393, 20.442424596227387, 28.347989528796663, 20.439488831012753, 17.635530310346113, 11.050762305415656, 20.86625408039702, 18.14499507890788, 9.720037925357095, 19.80361135295408, 12.26620448043377, 25.284310090541325, 20.87546004423889, 28.347989528796663, 7.75550262385769, 15.660432547051537, 20.819783390900547, 0, 0, 0, 12.906088485445993, 26.042514327529393, 0, 19.80361135295408, 0, 23.94834615610421, 21.168095829089197, 27.03235144753129, 0, 26.474804430584268, 11.782091718469255, 24.833945697115738, 0, 0, 29.67113496319793, 0, 11.865072005152768, 26.474804430584268, 15.54404129497309, 18.832596729223045, 18.79709499312352, 21.743351687956963, 26.042514327529393, 29.67113496319793, 0, 28.347989528796663, 7.7343958662070085, 0, 27.058805467637313, 11.782091718469255, 0, 26.042514327529393, 0, 0, 21.054195874878666, 0, 0, 15.54404129497309, 18.832596729223045, 19.80361135295408, 26.042514327529393, 21.168095829089197, 27.03235144753129, 25.284310090541325, 15.879250785867304, 25.284310090541325, 26.474804430584268, 11.782091718469255, 8.350630311731699, 0, 8.330681591204891, 25.284310090541325, 0, 0, 11.865072005152768, 15.294624728696194, 26.474804430584268, 10.796262669890053, 0, 20.87546004423889, 26.042514327529393]",punten untuk masalah tugas online yang diberikan dosen tolong dikaji lagi sampe banyaknya gatau mau ngerjain yang mana dulu sudah terlalu penat rasanya liat tugas saking banyaknya disaat kondisi seperti ini seharusnya kita harus lebih menjaga imun dan kesehatan tubuh kita tapi dengan banyak nya tugas dan deadline yang menunggu mengharuskan kami harus menyelesaikan tugas secepatnya agaar tidak mengumpulkan terlambat tapi dengan banyaknya tugas seperti ini mau ga mau kita harus sering begadang gmn mau jaga imun tubuh ketika kita trus menerus ngerjain tugas,1,15.038823782400849
"[12.237001602496074, 18.442847059281977, 15.154276198608368, 16.077804316996474, 9.710754667144293, 7.026880202393812, 9.850226794727364]",potongan bpp dong min 50% rugi bgt,1,12.642827263092624
"[21.204059676660677, 4.783287935863997, 7.5789676480697175, 2.5040150071562337, 0, 28.347989528796663, 14.733252144536689, 22.69505775487729, 5.6057012441555845, 0, 13.85095710342176, 0, 0, 23.091829314617673, 18.96129084884488, 19.826683780469835, 0]",telkom gamau kaya universitas veteran yang gak bisa mudik kerumah dikasih makanan cemilan karena udah pada tutup,1,10.775475999263001
"[8.791752838354096, 0, 16.787473286452247, 8.858900153140974, 2.190267183094869, 23.949859845910467]",gimana ceritanya sidang onlen weary face,1,10.096375551158776
"[8.474641484284168, 23.949859845910467, 8.474641484284168, 23.949859845910467, 8.474641484284168, 23.949859845910467, 8.474641484284168, 23.949859845910467]",pleading face pleading face pleading face pleading face,1,16.21225066509732
"[18.442847059281977, 0, 22.69505775487729, 25.670098798085004, 7.285742826073832, 9.710754667144293]",bpp mungkin bisa di diskon 50%,1,13.967416850910402
"[7.7481920935928, 27.72594088605488, 0, 23.557310129908487, 0, 20.793529754531342, 17.1511958226694, 16.077804316996474]",berarti untuk kp juga diundur atau bagaimana min,1,14.131746625469173
"[28.038398044701818, 0, 21.204059676660677, 8.018354496917027, 7.7022372451463035, 0, 0, 0, 27.03235144753129, 19.239648878279354, 26.474804430584268, 19.891639781166845, 0, 2.824469826181061, 0, 3.6866891328915927]",saya kagum telkom university selalu terdepan menyikapi permasalahan ini semoga kita semua dilindungi allah swt aamiin,1,10.257040810003765
"[22.69505775487729, 15.879250785867304, 22.34959285909023, 0, 7.5789676480697175, 11.36995745453599, 12.308304298792413, 0, 7.118116150684599, 20.793529754531342, 14.733252144536689, 9.300518701471393, 18.442847059281977, 1.2414825212917675, 17.924818148284746, 20.400002087964094, 27.72594088605488, 20.821548799198307, 20.442424596227387, 0, 10.478953291468258, 7.5789676480697175, 0, 0, 14.733252144536689, 19.891639781166845, 21.04566292176771, 9.096983374370769, 6.681343401213037, 28.86007692205497, 13.107410512953546, 19.239648878279354, 19.891639781166845, 7.808628322093368, 0, 29.67113496319793, 12.786423097001768, 0]","bisa ga buat keputusan kaya ui nilai maksimal b atau gak refund bpp lumayan beli kuota untuk kuliah online "") bener kaya komen2 diatas gak semua mahasiswa punya fasilitas yg sama semoga semua komentar terbaca dan jadi pertimbangan~",1,12.947299386581603
"[16.077804316996474, 4.419059533412175, 9.54110520646235, 11.623842032228026, 11.36995745453599, 15.154276198608368, 9.54110520646235, 7.268261216450961, 7.118116150684599]",min minta biar kayak ui dong biar dapet b,1,10.234836368426809
"[12.00761735309502, 6.326302586245171, 18.442847059281977, 9.710754667144293, 20.125481828339538, 3.2991441938206263]",cukup bayar bpp 50% ya bahagia,1,11.652024614654437
"[22.69505775487729, 16.787473286452247, 20.442424596227387]",bisa sidang online,1,19.974985212518973
"[10.162859133519266, 11.574386030355013, 0, 10.751109273674242, 0, 20.125481828339538, 13.6524301328229, 13.464566986850604]",aku anak uin ikut komen ya kak hehe,1,9.966354173195196
[0],dahlah,0,0.0
"[0, 18.442847059281977, 4.783287935863997, 25.670098798085004, 4.966889139417212, 21.967258484815744]",hallo bpp gamau di cashback aja,1,12.638396902910657
"[27.72594088605488, 2.393780968324767, 10.902334670101986, 29.67113496319793, 0, 1.8027367329584552, 8.791752838354096, 20.125481828339538]",untuk input tak dan test eprt gimana ya,1,12.676645360916456
